Reaction,lb,ub
R_ACACT5r,-1000,0
R_ACOAD5f,0,1000
R_ADHEr,0,1000
R_ARGt2r,0,1000
R_ATPS1,0,0
R_ATPS10_3,0,0
R_ATPS10rpp,0,0
R_ATPS4r,0,0
R_ATPS4rpp,0,1000
R_ATPS4rpp_1,0,0
R_BTDt6_RR,0,1000
R_BTS2,0,1000
R_BZt1pp,0,1000
R_CITt14,0,1000
R_CITt2r,0,1000
R_CITt_kt,0,1000
R_Clt,0,0
R_CODH2r,0,1000
R_CYS,0,1000
R_DARBt2rpp,0,1000
R_ETHAt6,0,1000
R_ETOHt2r,0,1000
R_ETOHt2rpp,0,1000
R_FDH5r2pp,0,1000
R_FDH7,0,1000
R_FRD2rpp,0,1000
R_FRD5,0,1000
R_FRDO3r,0,1000
R_FRNDPR2r,0,1000
R_FRNDPR2r_1,0,1000
R_FUMtpp,0,1000
R_GLYTA,0,1000
R_H2ASE_syn,-1000,0
R_HSTPTr,0,1000
R_HXANt2r,0,1000
R_ICH,0,1000
R_ICITtupp,0,0
R_Kt1,0,1000
R_Kt2r,0,1000
R_Kt3r,0,1000
R_LDH_D1,0,1000
R_LYSt2r,0,1000
R_LYSt3r,0,1000
R_LYSt5r,-1000,1000
R_MAN1PT,0,1000
R_MGt2pp,0,0
R_MGt5,-1000,0
R_MOX,0,1000
R_MTHFD2i,0,1000
R_NACt1pp,0,1000
R_NADH2r,0,1000
R_NADHNQR,0,1000
R_NAKtr,0,1000
R_NAPRT,0,1000
R_NAt,0,1000
R_NAt3_1,0,1000
R_NH4t4,0,0
R_OIVD1r,0,1000
R_OOR2r,0,1000
R_ORNt2r,0,1000
R_PHTHCLR1,0,1000
R_PIt,0,0
R_PIt7,0,1000
R_POR,0,1000
R_POR5,0,1000
R_POX2,0,1000
R_PPAAFDOR,0,1000
R_PPAt6,0,1000
R_PPCCYTC1pp,-1000,0
R_PPK2r,0,1000
R_PPKr,0,1000
R_PTRCt2,0,1000
R_PYDXO,-1000,0
R_QRr,0,1000
R_QUINtpp,0,1000
R_SHSL4r,0,1000
R_SO4t4_2,0,1000
R_SUCCtpp,0,1000
R_SUCD3,0,1000
R_SUCD4,0,1000
R_TARTRtpp,0,0
R_THD2,0,1000
R_URAt2pp,0,1000
R_VPAMTr,0,1000
R_YUMPS,0,1000
R_RNF,0,1000
R_AOR_CL,-1000,0
R_ACt4pp,-1000,1000