BiGG	formula	charge
CE1102	C35H56N7O18P3S	-4.0
CE1162	C20H28O	0.0
CE1243	C17H26O3	0.0
CE1261	C12H16N2O6S	0.0
CE1272	C27H48O4	0.0
CE1273	C27H48O5	0.0
CE1274	C27H46O5	0.0
CE1277	C27H48O5	0.0
CE1278	C27H48O5	0.0
CE1279	C27H48O5	0.0
CE1292	C27H43O3	-1.0
CE1293	C27H44O2	0.0
CE1294	C27H44O2	0.0
CE1297	C27H44O	0.0
CE1298	C27H44O2	0.0
CE1310	C5H8NO3S	-1.0
CE1352	C21H31O6S	-1.0
CE1401	C4H7NOS	0.0
CE1447	C20H31O6	-1.0
CE1554	C5H9NO3	0.0
CE1556	C6H10N2O4	0.0
CE1562	C9H5NO4	0.0
CE1589	C45H70N7O19P3S	-4.0
CE1617	C20H27O2	-1.0
CE1661	C9H15N2O5	-1.0
CE1665	C15H22N4O9S	-2.0
CE1761	C20H30O2	0.0
CE1787	C12H25N2O7	1.0
CE1918	C10H11NO2	0.0
CE1925	C16H22O4	0.0
CE1926	C15H20O4	0.0
CE1935	C10H26N3O	3.0
CE1936	C10H22N2O2	2.0
CE1937	C10H25N3O2	2.0
CE1939	C7H18N2O	2.0
CE1940	C7H18N2O	2.0
CE1941	C7H17N2O2	1.0
CE1943	C7H14NO2	1.0
CE1944	C4H8N	1.0
CE1950	CH2NO2S	0.0
CE1957	C8H5NO5	-2.0
CE2006	C9H16O2	0.0
CE2011	CHNOS	0.0
CE2020	C22H34NO3	-1.0
CE2026	C7H11NO3	0.0
CE2028	C5H10O3	0.0
CE2038	C40H66N7O17P3S	-4.0
CE2047	C18H33O4	-1.0
CE2049	C18H33O4	-1.0
CE2053	C20H29O5	-1.0
CE2056	C20H31O6	-1.0
CE2065	C11H15N4O4	-1.0
CE2072	C7H17N2O2	1.0
CE2084	C20H29O3	-1.0
CE2088	C11H13N3O5S	-2.0
CE2089	C9H12N3O4S	-1.0
CE2095	C16H22N2O9	0.0
CE2102	C14H26N2O3S2	0.0
CE2122	C11H11NO2	0.0
CE2152	C11H12N2	0.0
CE2153	C11H12N2O	0.0
CE2172	C9H12NO2	1.0
CE2173	C10H13NO3	0.0
CE2174	C9H12NO3	1.0
CE2176	C10H13NO4	0.0
CE2180	C18H22O3	0.0
CE2183	C19H26O3	0.0
CE2184	C19H24O3	0.0
CE2186	C19H26O3	0.0
CE2189	C19H24O3	0.0
CE2196	C11H16NO2	1.0
CE2201	C27H44O3	0.0
CE2202	C27H44O4	0.0
CE2203	C27H42O4	0.0
CE2204	C27H40O4	0.0
CE2206	C27H42O4	0.0
CE2207	C27H42O5	0.0
CE2209	C19H32O2	0.0
CE2211	C21H34O2	0.0
CE2242	C43H72N7O17P3S	-4.0
CE2243	C41H68N7O17P3S	-4.0
CE2245	C45H76N7O17P3S	-4.0
CE2246	C43H74N7O18P3S	-4.0
CE2247	C41H70N7O18P3S	-4.0
CE2248	C39H66N7O18P3S	-4.0
CE2249	C45H82N7O18P3S	0.0
CE2250	C43H72N7O18P3S	-4.0
CE2251	C41H68N7O18P3S	-4.0
CE2253	C45H76N7O18P3S	-4.0
CE2303	C24H40O10	-2.0
CE2304	C24H40O10	-2.0
CE2305	C24H40O10	-2.0
CE2306	C24H40O10	-2.0
CE2313	C29H48O	0.0
CE2314	C29H50O	0.0
CE2345	C27H41O4	-1.0
CE2414	C20H39O2	-1.0
CE2416	C19H37O2	-1.0
CE2417	C35H54N7O18P3S	-4.0
CE2418	C37H58N7O18P3S	-4.0
CE2420	C33H52N7O18P3S	-4.0
CE2421	C39H62N7O18P3S	-4.0
CE2422	C37H56N7O18P3S	-4.0
CE2424	C35H52N7O18P3S	-4.0
CE2432	C35H52N7O17P3S	-4.0
CE2433	C37H56N7O17P3S	-4.0
CE2434	C39H60N7O17P3S	-4.0
CE2437	C39H58N7O17P3S	-4.0
CE2438	C39H60N7O18P3S	-4.0
CE2439	C39H58N7O18P3S	-4.0
CE2440	C37H56N7O17P3S	-4.0
CE2441	C37H54N7O17P3S	-4.0
CE2442	C37H56N7O17P3S	-4.0
CE2445	C20H31O4	-1.0
CE2446	C20H31O4	-1.0
CE2510	C20H37O2	-1.0
CE2516	C20H33O2	-1.0
CE2537	C20H34O3	0.0
CE2565	C20H31O3	-1.0
CE2566	C20H29O4	-1.0
CE2567	C20H29O4	-1.0
CE2568	C20H31O5	-1.0
CE2569	C20H31O5	-1.0
CE2576	C9H16O3	0.0
CE2577	C9H14O2	0.0
CE2592	C37H60N7O18P3S	-4.0
CE2597	C33H52N7O18P3S	-4.0
CE2615	C11H11N5O	0.0
CE2616	C17H18N5O7	-1.0
CE2705	C9H13N5O3	0.0
CE2751	C28H37N5O7	0.0
CE2754	C15H12I3NO4	0.0
CE2838	C54H92O46	0.0
CE2839	C60H102O51	0.0
CE2846	C12H24N2O10P	-1.0
CE2847	C8H15NO7	0.0
CE2848	C8H14NO10P	-2.0
CE2858	C46H74N14O10	2.0
CE2862	C57H91N18O16	1.0
CE2863	C21H33N3O5	0.0
CE2866	C15H13I2NO4	0.0
CE2870	C15H13I2NO7S	0.0
CE2872	C15H13I2NO4	0.0
CE2873	C15H12I2NO7S	-1.0
CE2874	C15H14INO4	0.0
CE2875	C15H13INO7S	-1.0
CE2876	C21H20I2NO10	-1.0
CE2877	C21H18I4NO10	-1.0
CE2878	C21H19I3NO10	-1.0
CE2879	C21H19I3NO10	-1.0
CE2880	C21H20I2NO10	-1.0
CE2881	C14H8I4O4	0.0
CE2882	C14H8I3O4	-1.0
CE2883	C14H9I3O4	0.0
CE2884	C14H9I2O4	-1.0
CE2885	C20H14I4O10	-2.0
CE2886	C20H15I3O10	-2.0
CE2887	C20H15I3O10	-2.0
CE2888	C20H16I2O10	-2.0
CE2890	C18H39N9O4	2.0
CE2891	C74H118N21O17	3.0
CE2915	C44H60N7O11	-1.0
CE2916	C35H51N6O10	-1.0
CE2917	C69H114N23O16S	3.0
CE2934	C10H11NO3	0.0
CE2947	C16H16NO9	-1.0
CE2949	C10H7NO4	0.0
CE2953	C20H27O3	-1.0
CE2955	C20H25O2	-1.0
CE2957	C20H27O3	-1.0
CE2958	C26H35O9	-1.0
CE2961	C22H32O3	0.0
CE2962	C28H39O9	-1.0
CE2963	C20H27O3	-1.0
CE2964	C20H27O3	-1.0
CE3038	C27H44O4	0.0
CE3075	C6H15O9P	0.0
CE3086	C16H20NO9	-1.0
CE3087	C11H8N2	0.0
CE3092	C26H36N5O14S	-1.0
CE3136	C20H27O3	-1.0
CE3140	C17H22N2O7	0.0
CE3481	C23H37O7P	-2.0
CE3554	C20H31O7	-1.0
CE4633	HClO	0.0
CE4722	C38H49N6O10	-1.0
CE4723	C29H40N5O9	-1.0
CE4724	C60H105N22O15S	3.0
CE4753	C20H40N5O6	1.0
CE4754	C26H45N11O6	2.0
CE4790	C35H56N7O18P3S	-4.0
CE4791	C41H64N7O18P3S	-4.0
CE4792	C35H54N7O18P3S	-4.0
CE4793	C41H62N7O18P3S	-4.0
CE4794	C33H52N7O17P3S	-4.0
CE4795	C41H60N7O17P3S	-4.0
CE4796	C30H46N7O18P3S	-4.0
CE4797	C30H48N7O17P3S	-4.0
CE4798	C30H48N7O17P3S	-4.0
CE4799	C30H46N7O17P3S	-4.0
CE4800	C30H48N7O18P3S	-4.0
CE4801	C32H52N7O18P3S	-4.0
CE4802	C27H42N7O18P3S	-4.0
CE4803	C32H50N7O18P3S	-4.0
CE4804	C27H40N7O18P3S	-4.0
CE4806	C32H50N7O17P3S	-4.0
CE4807	C27H40N7O17P3S	-4.0
CE4808	C27H42N7O17P3S	-4.0
CE4810	C41H62N7O18P3S	-4.0
CE4811	C41H60N7O18P3S	-4.0
CE4812	C41H60N7O17P3S	-4.0
CE4816	C45H66N7O17P3S	-4.0
CE4817	C43H64N7O18P3S	-4.0
CE4818	C45H68N7O18P3S	-4.0
CE4819	C43H62N7O18P3S	-4.0
CE4820	C45H66N7O18P3S	-4.0
CE4821	C43H62N7O17P3S	-4.0
CE4824	C45H68N7O17P3S	-4.0
CE4830	C45H68N7O17P3S	-4.0
CE4831	C43H66N7O18P3S	-4.0
CE4832	C45H68N7O18P3S	-4.0
CE4833	C43H64N7O18P3S	-4.0
CE4834	C45H68N7O18P3S	-4.0
CE4835	C43H64N7O17P3S	-4.0
CE4837	C45H70N7O17P3S	-4.0
CE4838	C45H66N7O17P3S	-4.0
CE4840	C41H66N7O18P3S	-4.0
CE4841	C41H64N7O18P3S	-4.0
CE4842	C41H64N7O17P3S	-4.0
CE4843	C41H66N7O17P3S	-4.0
CE4844	C43H68N7O18P3S	-4.0
CE4845	C43H66N7O18P3S	-4.0
CE4846	C43H66N7O17P3S	-4.0
CE4847	C43H68N7O17P3S	-4.0
CE4848	C43H66N7O18P3S	-4.0
CE4849	C45H70N7O18P3S	-4.0
CE4850	C43H64N7O18P3S	-4.0
CE4851	C45H68N7O18P3S	-4.0
CE4852	C43H64N7O17P3S	-4.0
CE4853	C45H68N7O17P3S	-4.0
CE4854	C43H66N7O17P3S	-4.0
CE4855	C45H70N7O17P3S	-4.0
CE4872	C27H46O4	0.0
CE4874	C27H48O5	0.0
CE4876	C20H29O4	-1.0
CE4877	C20H27O3	-1.0
CE4881	ClNO2	0.0
CE4888	C8H7NO2	0.0
CE4890	C11H15NO2	0.0
CE4898	C28H45O4	-1.0
CE4936	C25H37NO6S	-2.0
CE4968	C7H13NO3	0.0
CE4969	C6H11NO3	0.0
CE4970	C7H13NO3	0.0
CE4980	C23H38O7	0.0
CE4987	C20H33O4	-1.0
CE4988	C20H34O4	0.0
CE4989	C20H33O5	-1.0
CE4990	C20H29O4	-1.0
CE4993	C30H47N3O10S	-2.0
CE5013	C20H30O2	0.0
CE5014	C20H28	0.0
CE5016	C20H32O3	0.0
CE5021	C29H52O3	0.0
CE5022	C29H50O3	0.0
CE5025	C18H26N4O8S	0.0
CE5026	C19H25N4O10S	-1.0
CE5049	CH2*	0.0
CE5068	C6H6O4	-2.0
CE5072	C21H34O3	0.0
CE5082	C9H15N2O5S	-1.0
CE5101	C11H15O16P2*	-3.0
CE5114	C41H62N7O17P3S	-4.0
CE5116	C41H62N7O17P3S	-4.0
CE5117	C35H52N7O17P3S	-4.0
CE5118	C35H52N7O17P3S	-4.0
CE5119	C35H54N7O17P3S	-4.0
CE5120	C35H54N7O17P3S	-4.0
CE5122	C41H70N7O17P3S	-4.0
CE5125	C40H68N7O17P3S	-4.0
CE5126	C40H68N7O17P3S	-4.0
CE5138	C20H29O5	-1.0
CE5139	C20H29O6	-1.0
CE5140	C20H29O7	-1.0
CE5141	C20H27O5	-1.0
CE5144	C41H66N7O18P3S	-4.0
CE5148	C41H68N7O18P3S	-4.0
CE5150	C41H66N7O17P3S	-4.0
CE5151	C41H68N7O17P3S	-4.0
CE5152	C43H70N7O18P3S	-4.0
CE5153	C43H72N7O18P3S	-4.0
CE5154	C43H70N7O17P3S	-4.0
CE5155	C43H72N7O17P3S	-4.0
CE5156	C45H74N7O18P3S	-4.0
CE5157	C45H76N7O18P3S	-4.0
CE5158	C45H74N7O17P3S	-4.0
CE5160	C39H62N7O18P3S	-4.0
CE5161	C39H64N7O18P3S	-4.0
CE5162	C39H62N7O17P3S	-4.0
CE5166	C48H76N7O20P3S	-4.0
CE5168	C48H76N7O21P3S	-4.0
CE5178	C20H29O4	-1.0
CE5179	C20H31O4	-1.0
CE5236	C9H13N5O3	0.0
CE5239	C28H38N3O9S	-1.0
CE5240	C28H36N3O9S	-1.0
CE5241	C28H38N3O9S	-1.0
CE5242	C28H36N3O9S	-1.0
CE5243	C28H38N3O9S	-1.0
CE5244	C28H36N3O9S	-1.0
CE5249	C18H22O3	0.0
CE5250	C18H22O3	0.0
CE5251	C18H20O3	0.0
CE5252	C18H20O3	0.0
CE5276	C8H9NO2	0.0
CE5277	C8H8NO2	0.0
CE5278	C9H6NO4	-2.0
CE5304	C20H30O4	0.0
CE5307	C18H27O4	-1.0
CE5319	C18H27O4	-1.0
CE5329	C41H62N7O20P3S	-4.0
CE5331	C41H60N7O20P3S	-4.0
CE5337	C39H58N7O19P3S	-4.0
CE5341	C41H60N7O19P3S	-4.0
CE5342	C41H62N7O19P3S	-4.0
CE5343	C20H31O4	-1.0
CE5344	C41H62N7O20P3S	-4.0
CE5345	C41H60N7O20P3S	-4.0
CE5346	C39H58N7O19P3S	-4.0
CE5347	C41H60N7O19P3S	-4.0
CE5348	C41H62N7O19P3S	-4.0
CE5349	C20H29O4	-1.0
CE5352	C20H33O4	-1.0
CE5456	C6H11O3	-1.0
CE5525	C20H26O6	-2.0
CE5531	C30H45N3O10S	-2.0
CE5536	C9H9NO3	0.0
CE5538	C8H7NO3	0.0
CE5541	C9H9NO3	-1.0
CE5542	C8H7NO3	-1.0
CE5544	C19H22N4O10S	-2.0
CE5545	C18H23N4O8S	-1.0
CE5546	C19H25N4O9S	-1.0
CE5547	C18H23N4O9S	-1.0
CE5586	C7H20N3	3.0
CE5588	C10H23N3O2	0.0
CE5591	C20H28O2	0.0
CE5592	C20H28O2	0.0
CE5593	C20H28O2	0.0
CE5594	C20H27O2	-1.0
CE5626	C11H13NO4	0.0
CE5627	C12H15NO4	0.0
CE5629	C10H11NO2	0.0
CE5643	NO3	-1.0
CE5653	C20H25O3	-1.0
CE5654	C20H25O3	-1.0
CE5655	C28H48O3	0.0
CE5656	C18H26N5O8PS2	0.0
CE5661	C20H29O5	-1.0
CE5662	C20H31O5	-1.0
CE5665	C8H9NO2	0.0
CE5700	C23H38O6	0.0
CE5726	C23H38O7	0.0
CE5727	C23H38O7	0.0
CE5730	C23H36O6	0.0
CE5747	C42H58NO	1.0
CE5752	C42H58NO	1.0
CE5753	C42H58NO	1.0
CE5754	C42H58NO	1.0
CE5755	C42H58NO	1.0
CE5756	C26H35O8	-1.0
CE5757	C26H33O9	-1.0
CE5775	C42H58NO	1.0
CE5776	C42H58NO	1.0
CE5786	C56H87N17O11	2.0
CE5787	C15H31N6O4	1.0
CE5788	C41H67N15O9	2.0
CE5789	C50H76N16O10	2.0
CE5791	C35H47N10O7	1.0
CE5794	C52H74N15O12S	1.0
CE5795	C12H22N4O5	0.0
CE5796	C40H54N11O8S	1.0
CE5797	C32H51N5O7	0.0
CE5798	C26H40N4O6	0.0
CE5815	C20H31O4	-1.0
CE5820	C11H18N5O2	1.0
CE5829	C18H34N4O6	0.0
CE5835	C29H50O3	0.0
CE5837	C29H50O5	0.0
CE5838	C29H50O4	0.0
CE5839	C29H50O5	0.0
CE5840	C29H50O4	0.0
CE5842	C29H50O3	0.0
CE5843	C29H48O4	0.0
CE5853	C22H29O10	-1.0
CE5854	C21H27O10	-1.0
CE5860	C12H16N2O3	0.0
CE5865	C9H18N2O4	0.0
CE5866	C9H18N2O3	0.0
CE5867	C20H32N5O9	-1.0
CE5868	C9H12N2O7	-2.0
CE5869	C11H22N3O3	1.0
CE5875	C27H37N7O19P3S	-5.0
CE5932	C20H30O2	0.0
CE5934	C40H68N7O18P3S	-4.0
CE5944	C20H31O4	-1.0
CE5945	C20H33O6	-1.0
CE5946	C20H33O7	-1.0
CE5947	C20H30O6	-2.0
CE5956	C20H33O7P2	-3.0
CE5966	C41H62N7O20P3S	-4.0
CE5967	C39H60N7O19P3S	-4.0
CE5968	C18H29O4	-1.0
CE5969	C41H64N7O19P3S	-4.0
CE5970	C41H62N7O19P3S	-4.0
CE5971	C41H64N7O20P3S	-4.0
CE5976	C20H28O6	-2.0
CE5986	C28H47NO4	0.0
CE5994	C23H34NO6S	-1.0
CE5995	C23H33NO7S	-2.0
CE6000	CNO5	-1.0
CE6027	C23H34O3	0.0
CE6031	C19H29O5S	-1.0
CE6182	C41H59N7O21P3S	-5.0
CE6183	C41H57N7O22P3S	-5.0
CE6184	C39H55N7O21P3S	-5.0
CE6185	C18H24O6	-2.0
CE6186	C41H57N7O21P3S	-5.0
CE6187	C41H59N7O22P3S	-5.0
CE6188	C42H60N8O22P3S2	-5.0
CE6189	C44H62N8O23P3S2	-5.0
CE6190	C44H64N8O22P3S2	-5.0
CE6191	C44H62N8O22P3S2	-5.0
CE6192	C44H64N8O23P3S2	-5.0
CE6193	C21H29NO7S	-2.0
CE6198	C42H60N8O23P3S2	-5.0
CE6204	C42H58N8O22P3S2	-5.0
CE6205	C11H13NO2	0.0
CE6219	C28H48O3	0.0
CE6225	C42H60N8O22P3S2	-5.0
CE6226	C42H62N8O23P3S2	-5.0
CE6227	C42H60N8O22P3S2	-5.0
CE6228	C40H56N8O22P3S2	-5.0
CE6229	C19H25NO7S	-2.0
CE6230	C20H33O4	-1.0
CE6232	C20H33O6	-1.0
CE6234	C20H33O5	-1.0
CE6235	C30H45N3O10S	-2.0
CE6240	C20H31O4	-1.0
CE6241	C30H47N3O10S	-2.0
CE6242	C30H45N3O10S	-2.0
CE6243	C30H45N3O10S	-2.0
CE6244	C30H49N3O10S	-2.0
CE6245	C30H47N3O10S	-2.0
CE6246	C20H32O4	0.0
CE6247	C20H31O5	-1.0
CE6248	C20H31O5	-1.0
CE6250	C30H47N3O10S	-2.0
CE6251	C20H31O4	-1.0
CE6252	C5H3N4O3	0.0
CE6316	C10H14NO2	1.0
CE6317	C10H11NO2	0.0
CE6415	C18H31O4	-1.0
CE6420	C22H31O4	-1.0
CE6426	C22H31O4	-1.0
CE6435	C22H31O4	-1.0
CE6438	C22H31O4	-1.0
CE6444	C22H31O6	-1.0
CE6445	C22H31O6	-1.0
CE6446	C22H31O6	-1.0
CE6447	C22H31O6	-1.0
CE6448	C22H31O6	-1.0
CE6449	C22H31O6	-1.0
CE6450	C22H31O6	-1.0
CE6451	C22H31O6	-1.0
CE6452	C22H31O5	-1.0
CE6453	C22H31O5	-1.0
CE6454	C22H31O5	-1.0
CE6455	C22H31O5	-1.0
CE6456	C22H31O5	-1.0
CE6457	C22H31O5	-1.0
CE6458	C22H31O5	-1.0
CE6459	C22H31O5	-1.0
CE6460	C22H31O5	-1.0
CE6461	C22H31O5	-1.0
CE6462	C22H31O5	-1.0
CE6463	C22H31O5	-1.0
CE6464	C22H31O5	-1.0
CE6465	C22H31O5	-1.0
CE6466	C22H31O5	-1.0
CE6467	C22H31O5	-1.0
CE6504	C18H32O6	0.0
CE6506	C9H16O2	0.0
CE6508	C20H29O4	-1.0
CE7047	C28H47O2	0.0
CE7072	C28H40O4	0.0
CE7074	C28H42O3	0.0
CE7079	C20H27O3	-1.0
CE7081	C20H29O3	-1.0
CE7082	C20H29O3	-1.0
CE7083	C20H30O4	0.0
CE7084	C20H29O4	-1.0
CE7085	C20H29O3	-1.0
CE7086	C30H43N3O9S	-2.0
CE7087	C25H37N2O6S	-1.0
CE7088	C20H29O5	-1.0
CE7090	C20H29O3	-1.0
CE7091	C20H29O4	-1.0
CE7096	C20H31O4	-1.0
CE7097	C20H29O4	-1.0
CE7101	C28H48O3	0.0
CE7109	C20H27O4	-1.0
CE7110	C20H27O4	-1.0
CE7111	C20H27O3	-1.0
CE7112	C20H29O5	-1.0
CE7113	C20H29O5	-1.0
CE7114	C20H29O5	-1.0
CE7115	C20H29O5	-1.0
CE7144	C29H44O3	0.0
CE7145	C29H42O4	0.0
CE7172	C20H32O4	0.0
CE7218	C9H10N2O5S	-2.0
CE7220	C16H21N5O8S	-2.0
CN0010	C20H12O2	0.0
CN0011	C20H12O2	0.0
CN0012	C20H12O	0.0
CN0016	C24H14	0.0
CN0017	C24H14O	0.0
CN0018	C24H16O2	0.0
CN0020	C20H16	0.0
CN0021	C20H16O	0.0
CN0022	C20H18O2	0.0
CN0023	C20H18O3	0.0
DPA	C7H3NO4	-2.0
Dara14lac	C5H8O5	0.0
HC00229	C12H22O11	0.0
HC00250	HS	-1.0
HC00319	C3H2O4	-2.0
HC00342	C6H3O6	-3.0
HC00361	C7H12O13P2	-4.0
HC00460	C7H5O4	-1.0
HC00576	C10H16N4O3	0.0
HC00591	C5H6NO4	-1.0
HC00664	C6H13O9P	0.0
HC00682	C10H19NO2S2	0.0
HC00695	C12H21NO4S2	0.0
HC00718	C3H9NO4P	-1.0
HC00822	C16H28N2O11	0.0
HC00832	C6H12O5	0.0
HC00900	C4H4O4	-2.0
HC00955	C4H6N2O2	0.0
HC01104	C6H4NO6P	-2.0
HC01115	C11H19NO10	0.0
HC01118	C30H49O7P2	-3.0
HC01161	C3H6NO2*	1.0
HC01162	C20H29N4O17P	-2.0
HC01180	C6H14O12P2	0.0
HC01223	C25H38N7O18P3S	-4.0
HC01231	C12H21N2O6S	-1.0
HC01254	C9H13N5O3	0.0
HC01361	C9H13N5O4	0.0
HC01376	C13H25NO2S2	0.0
HC01377	C13H25NO2S2	0.0
HC01397	C37H62N7O18P3S	-4.0
HC01405	C29H46N7O18P3S	-4.0
HC01406	C29H44N7O18P3S	-4.0
HC01407	C27H42N7O18P3S	-4.0
HC01408	C27H40N7O18P3S	-4.0
HC01412	C35H56N7O17P3S	-4.0
HC01415	C29H44N7O17P3S	-4.0
HC01434	C6H3O7	-3.0
HC01435	C16H25N4O10P2S	1.0
HC01440	C6H10O6	0.0
HC01441	C12H21O14P	-2.0
HC01444	C9H18O8	0.0
HC01446	C12H20O11	0.0
HC01459	C48H76N7O21P3S	-4.0
HC01496	C6H9NO5	0.0
HC01501	HO3S2	-1.0
HC01522	C7H6O3	0.0
HC01577	C9H13N3O5	0.0
HC01609	C40H36N4O16	-8.0
HC01651	C10H18N5O15P3	0.0
HC01652	C9H18N5O14P3	0.0
HC01668	C13H17N5O8P	-1.0
HC01672	C12H15N5O8P	-1.0
HC01700	C8H13N3O3	0.0
HC01710	C9H18N5O14P3	0.0
HC01712	C13H23NO4S2	0.0
HC01787	C12H17NaO10	0.0
HC01797	CH3*	0.0
HC01842	C4H11NO4P	-1.0
HC02020	C43H76O2	0.0
HC02021	C43H74O2	0.0
HC02022	C45H80O2	0.0
HC02023	C45H78O2	0.0
HC02024	C45H76O2	0.0
HC02025	C45H74O2	0.0
HC02027	C47H76O2	0.0
HC02042	C4H6O7P*	-2.0
HC02050	C5H7O8P*	0.0
HC02051	C5H7O8P*	0.0
HC02054	C5H7O8P*	0.0
HC02056	C5H6O5*	0.0
HC02057	C5H6O5*	0.0
HC02060	C5H6O5*	0.0
HC02070	CHO2*	0.0
HC02076	C4H7O4*	0.0
HC02110	C28H46O	0.0
HC02121	C11H18N3O7S	-1.0
HC02160	C50H85N3O26*	-1.0
HC02161	C56H95N3O31*	-1.0
HC02172	Zn	2.0
HC02180	C20H33O6	-1.0
HC02187	C15H12I3NO4	0.0
HC02191	C24H39O3	-1.0
HC02192	C26H44NO5S	-1.0
HC02193	C26H42NO4	-1.0
HC02194	C24H39O4	-1.0
HC02195	C26H45NO6S	0.0
HC02196	C26H43NO5	0.0
HC02197	C26H41NO7S	-2.0
HC02198	C26H43NO8S2	-2.0
HC02200	C16H18N5O10S	-1.0
HC02201	C23H27Cl2N3O9S	0.0
HC02202	C20H31O4	-1.0
HC02203	C20H29O4	-1.0
HC02204	C20H31O4	-1.0
HC02205	C20H29O4	-1.0
HC02206	C20H31O4	-1.0
HC02207	C20H29O4	-1.0
HC02208	C20H33O5	-1.0
HC02210	C20H29O5	-1.0
HC02213	C20H29O5	-1.0
HC02214	C20H36O5	0.0
HC02216	C20H33O5	-1.0
HC02217	C20H31O6	-1.0
HC02220	C24H40O7S	0.0
HC02228	C16H30O	0.0
HC10856	C39H62N7O17P3S	-4.0
HC10857	C39H64N7O18P3S	-4.0
HC10858	C39H62N7O18P3S	-4.0
HC10859	C10H17NO6	0.0
L2aadp	C6H10NO4	-1.0
L2aadp6sa	C6H11NO3	0.0
L_alagly	C5H10N2O3	0.0
L_dpchrm	C9H6NO4	-1.0
LalaDglu	C8H13N2O5	-1.0
LalaDgluMdap	C15H25N4O8	-1.0
LalaDgluMdapDala	C18H30N5O9	-1.0
LalaLglu	C8H13N2O5	-1.0
Larab	C15H24O12*	0.0
Largn	C10H12NO5	-1.0
Lcyst	C3H6NO5S	-1.0
Lfmkynr	C11H12N2O4	0.0
Lglyald	C3H6O3	0.0
Lhcystin	C8H16N2O4S2	0.0
Lkynr	C10H12N2O3	0.0
Lpipecol	C6H11NO2	0.0
